I Overlooking View (2007)            , 第一章 俯瞰风景
II A Study in Murder, Part 1 (2008)  , 第二章 杀人考察（前）
III Remaining Sense of Pain (2008)   , 第三章 痛覚残留
IV The Hollow Shrine (2008)          , 第四章 伽蓝の洞
V Paradox Spiral (2008)              , 第五章 矛盾螺旋
VI Oblivion Recording (2008)         , 第六章 忘却録音
VII A Study in Murder, Part 2 (2009) , 第七章 杀人考察（后）
Epilogue                             , 终章/空の境界
VIII Future Gospel                   , 未来福音
VIII Future Gospel - Extra Chorus    , 未来福音 Extra Chorus
Final Record                         , 終末録音
